                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86564,                 1.3109,                 1.2912,                0.93484,                 1.6446,                 1.3019,                0.74096,                0.68148,                0.74295,                 0.5455,                0.90743,                 1.4172,                 1.2599,                0.91549,                 1.6617,                 1.2848,              0.0003875,              0.0003875,              0.0003875
                      2,                0.78348,                 1.0223,                 1.2383,                0.87022,                 1.3036,                 1.2496,                0.69826,                0.67379,                0.72358,                0.56666,                0.76509,                 1.0986,                 1.1856,                0.82723,                 1.2843,                 1.2091,             0.00077191,             0.00077191,             0.00077191
                      3,                0.77166,                0.97682,                 1.2319,                0.86168,                 1.2693,                 1.2442,                0.88454,                0.65156,                0.77593,                0.59622,                0.80909,                0.89041,                 1.1855,                0.85192,                  1.155,                 1.2139,              0.0011405,              0.0011405,              0.0011405
                      4,                0.83318,                 1.0354,                 1.2564,                0.93364,                 1.3007,                 1.2741,                 0.5669,                0.59501,                 0.5999,                0.40856,                0.98176,                 1.3553,                 1.3855,                 1.1133,                 1.6331,                 1.4744,              0.0011757,              0.0011757,              0.0011757
                      5,                0.82855,                 1.0218,                  1.267,                0.92173,                  1.295,                 1.2848,                0.72527,                0.62139,                0.70942,                0.49299,                0.99962,                 1.4391,                 1.4266,                  1.053,                 1.5747,                 1.4597,              0.0011757,              0.0011757,              0.0011757
                      6,                0.81689,                 1.0031,                 1.2591,                0.91443,                 1.2472,                 1.2764,                0.82275,                 0.6218,                0.70213,                0.52671,                0.84444,                 1.1874,                 1.2396,                0.93224,                 1.3052,                 1.3152,               0.001151,               0.001151,               0.001151
                      7,                0.77965,                0.95135,                 1.2298,                0.88439,                 1.1786,                 1.2536,                0.70436,                0.57547,                0.62762,                0.47122,                0.93094,                 1.4278,                 1.3476,                 1.0165,                 1.5271,                 1.3901,              0.0011263,              0.0011263,              0.0011263
                      8,                0.76315,                0.92824,                 1.2301,                0.86265,                 1.1369,                 1.2566,                0.70587,                0.66907,                0.73883,                 0.5556,                0.86579,                 1.1349,                 1.3061,                0.96036,                 1.1916,                 1.3756,              0.0011015,              0.0011015,              0.0011015
                      9,                0.74497,                0.86561,                 1.2065,                0.83699,                 1.0696,                  1.222,                0.79673,                0.67292,                0.77814,                0.59442,                0.77306,                0.90969,                 1.1852,                0.87257,                 1.0259,                  1.238,              0.0010768,              0.0010768,              0.0010768
                     10,                 0.7339,                0.86682,                  1.202,                0.84844,                 1.0547,                 1.2226,                 0.8807,                0.54394,                0.70678,                0.51601,                0.97923,                 1.0919,                 1.3756,                 1.0685,                 1.2539,                 1.4339,               0.001052,               0.001052,               0.001052
